Ref,Val,Package,PosX,PosY,Rot,Side
"K73","CPG151101S11-16","MX-Hotswap-1U",304.800000,-47.625000,0.000000,top
"K74","CPG151101S11-16","MX-Hotswap-1U",304.800000,-66.675000,0.000000,top
"K75","CPG151101S11-16","MX-Hotswap-1U",304.800000,-85.725000,0.000000,top
"K76","CPG151101S11-16","MX-Hotswap-1U",304.800000,-104.775000,0.000000,top
"K77","CPG151101S11-16","MX-Hotswap-1U",304.800000,-123.825000,0.000000,top
"K78","CPG151101S11-16","MX-Hotswap-1U",304.800000,-142.875000,0.000000,top
"K79","CPG151101S11-16","MX-Hotswap-1U",323.850000,-47.625000,0.000000,top
"K80","CPG151101S11-16","MX-Hotswap-1U",323.850000,-66.675000,0.000000,top
"K81","CPG151101S11-16","MX-Hotswap-1U",323.850000,-85.725000,0.000000,top
"K82","CPG151101S11-16","MX-Hotswap-1U",323.850000,-104.775000,0.000000,top
"K83","CPG151101S11-16","MX-Hotswap-1U",323.850000,-123.825000,0.000000,top
"K84","CPG151101S11-16","MX-Hotswap-1U",323.850000,-142.875000,0.000000,top
"K85","CPG151101S11-16","MX-Hotswap-1U",347.662500,-47.625000,0.000000,top
"K86","CPG151101S11-16","MX-Hotswap-1U",347.662500,-66.675000,0.000000,top
"K87","CPG151101S11-16","MX-Hotswap-1U",347.662500,-85.725000,0.000000,top
"K88","CPG151101S11-16","MX-Hotswap-1U",347.662500,-104.775000,0.000000,top
"K89","CPG151101S11-16","MX-Hotswap-1U",347.662500,-123.825000,0.000000,top
"K90","CPG151101S11-16","MX-Hotswap-1U",347.662500,-142.875000,0.000000,top
"K91","CPG151101S11-16","MX-Hotswap-1U",366.712500,-47.625000,0.000000,top
"K92","CPG151101S11-16","MX-Hotswap-1U",366.712500,-66.675000,0.000000,top
"K93","CPG151101S11-16","MX-Hotswap-1U",366.712500,-85.725000,0.000000,top
"K94","CPG151101S11-16","MX-Hotswap-1U",366.712500,-104.775000,0.000000,top
"K95","CPG151101S11-16","MX-Hotswap-1U",366.712500,-123.825000,0.000000,top
"K96","CPG151101S11-16","MX-Hotswap-1U",366.712500,-142.875000,0.000000,top
"K97","CPG151101S11-16","MX-Hotswap-1U",390.525000,-47.625000,0.000000,top
"K98","CPG151101S11-16","MX-Hotswap-1U",390.525000,-66.675000,0.000000,top
