Ref,Val,Package,PosX,PosY,Rot,Side
K79,CPG151101S11-16,MX-Hotswap-1U,323.85,-47.625,0,bottom
K80,CPG151101S11-16,MX-Hotswap-1U,323.85,-66.675,0,bottom
K81,CPG151101S11-16,MX-Hotswap-1U,323.85,-85.725,0,bottom
K82,CPG151101S11-16,MX-Hotswap-1U,323.85,-104.775,0,bottom
K83,CPG151101S11-16,MX-Hotswap-1U,323.85,-123.825,0,bottom
K84,CPG151101S11-16,MX-Hotswap-1U,323.85,-142.875,0,bottom
K85,CPG151101S11-16,MX-Hotswap-1U,347.6625,-47.625,0,bottom
K86,CPG151101S11-16,MX-Hotswap-1U,347.6625,-66.675,0,bottom
K87,CPG151101S11-16,MX-Hotswap-1U,347.6625,-85.725,0,bottom
K88,CPG151101S11-16,MX-Hotswap-1U,347.6625,-104.775,0,bottom
K89,CPG151101S11-16,MX-Hotswap-1U,347.6625,-123.825,0,bottom
K90,CPG151101S11-16,MX-Hotswap-1U,347.6625,-142.875,0,bottom
K91,CPG151101S11-16,MX-Hotswap-1U,366.7125,-47.625,0,bottom
K92,CPG151101S11-16,MX-Hotswap-1U,366.7125,-66.675,0,bottom
K93,CPG151101S11-16,MX-Hotswap-1U,366.7125,-85.725,0,bottom
K94,CPG151101S11-16,MX-Hotswap-1U,366.7125,-104.775,0,bottom
K95,CPG151101S11-16,MX-Hotswap-1U,366.7125,-123.825,0,bottom
K96,CPG151101S11-16,MX-Hotswap-1U,366.7125,-142.875,0,bottom
K97,CPG151101S11-16,MX-Hotswap-1U,390.525,-47.625,0,bottom
K98,CPG151101S11-16,MX-Hotswap-1U,390.525,-66.675,0,bottom
K99,CPG151101S11-16,MX-Hotswap-1U,390.525,-85.725,0,bottom
K100,CPG151101S11-16,MX-Hotswap-1U,390.525,-104.775,0,bottom
K101,CPG151101S11-16,MX-Hotswap-1U,390.525,-123.825,0,bottom
K102,CPG151101S11-16,MX-Hotswap-1U,390.525,-142.875,0,bottom
K103,CPG151101S11-16,MX-Hotswap-1U,409.575,-47.625,0,bottom
K104,CPG151101S11-16,MX-Hotswap-1U,409.575,-66.675,0,bottom
K105,CPG151101S11-16,MX-Hotswap-1U,409.575,-85.725,0,bottom
K106,CPG151101S11-16,MX-Hotswap-1U,409.575,-104.775,0,bottom
K107,CPG151101S11-16,MX-Hotswap-1U,409.575,-123.825,0,bottom
K108,CPG151101S11-16,MX-Hotswap-1U,409.575,-142.875,0,bottom
